name:VkDeviceGroupDeviceCreateInfoKHR, alias:VkDeviceGroupDeviceCreateInfo, category:struct
name:VkDescriptorUpdateTemplateEntryKHR, alias:VkDescriptorUpdateTemplateEntry, category:struct
name:VkDescriptorUpdateTemplateCreateInfoKHR, alias:VkDescriptorUpdateTemplateCreateInfo, category:struct
name:VkInputAttachmentAspectReferenceKHR, alias:VkInputAttachmentAspectReference, category:struct
name:VkRenderPassInputAttachmentAspectCreateInfoKHR, alias:VkRenderPassInputAttachmentAspectCreateInfo, category:struct
name:VkPhysicalDevice16BitStorageFeaturesKHR, alias:VkPhysicalDevice16BitStorageFeatures, category:struct
name:VkPhysicalDeviceShaderSubgroupExtendedTypesFeaturesKHR, alias:VkPhysicalDeviceShaderSubgroupExtendedTypesFeatures, category:struct
name:VkBufferMemoryRequirementsInfo2KHR, alias:VkBufferMemoryRequirementsInfo2, category:struct
name:VkImageMemoryRequirementsInfo2KHR, alias:VkImageMemoryRequirementsInfo2, category:struct
name:VkImageSparseMemoryRequirementsInfo2KHR, alias:VkImageSparseMemoryRequirementsInfo2, category:struct
name:VkMemoryRequirements2KHR, alias:VkMemoryRequirements2, category:struct
name:VkSparseImageMemoryRequirements2KHR, alias:VkSparseImageMemoryRequirements2, category:struct
name:VkPhysicalDevicePointClippingPropertiesKHR, alias:VkPhysicalDevicePointClippingProperties, category:struct
name:VkMemoryDedicatedRequirementsKHR, alias:VkMemoryDedicatedRequirements, category:struct
name:VkMemoryDedicatedAllocateInfoKHR, alias:VkMemoryDedicatedAllocateInfo, category:struct
name:VkImageViewUsageCreateInfoKHR, alias:VkImageViewUsageCreateInfo, category:struct
name:VkPipelineTessellationDomainOriginStateCreateInfoKHR, alias:VkPipelineTessellationDomainOriginStateCreateInfo, category:struct
name:VkSamplerYcbcrConversionInfoKHR, alias:VkSamplerYcbcrConversionInfo, category:struct
name:VkSamplerYcbcrConversionCreateInfoKHR, alias:VkSamplerYcbcrConversionCreateInfo, category:struct
name:VkBindImagePlaneMemoryInfoKHR, alias:VkBindImagePlaneMemoryInfo, category:struct
name:VkImagePlaneMemoryRequirementsInfoKHR, alias:VkImagePlaneMemoryRequirementsInfo, category:struct
name:VkPhysicalDeviceSamplerYcbcrConversionFeaturesKHR, alias:VkPhysicalDeviceSamplerYcbcrConversionFeatures, category:struct
name:VkSamplerYcbcrConversionImageFormatPropertiesKHR, alias:VkSamplerYcbcrConversionImageFormatProperties, category:struct
name:VkPhysicalDeviceSamplerFilterMinmaxPropertiesEXT, alias:VkPhysicalDeviceSamplerFilterMinmaxProperties, category:struct
name:VkSamplerReductionModeCreateInfoEXT, alias:VkSamplerReductionModeCreateInfo, category:struct
